article_uuid,journal_issn,journal_title,journal_scimago_score,journal_scimago_hindex,journal_scimago_quartile
3,0026-4733,Minerva chirurgica,0.225,26,Q3
10,1552-6259,The Annals of thoracic surgery,1.104,207,Q1
11,1531-5053,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,0.733,126,Q1
12,1527-3792,The Journal of urology,1.952,265,Q1
14,1090-2422,Experimental cell research,0.92,194,Q2
15,0891-3668,The Pediatric infectious disease journal,1.104,145,Q1
16,0011-9059,International journal of dermatology,0.66,96,Q2
17,0160-2527,International journal of law and psychiatry,0.763,69,Q1
18,0033-8419,Radiology,4.594,307,Q1
19,0032-6518,The Practitioner,0.103,15,Q4
22,0002-8177,Journal of the American Dental Association (1939),0.434,123,Q2
23,1477-9226,"Dalton transactions (Cambridge, England : 2003)",0.864,193,Q1
24,1740-1526,Nature reviews. Microbiology,9.103,323,Q1
25,1061-4036,Nature genetics,16.517,597,Q1
26,1020-3397,Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,0.478,50,Q3
28,0022-538X,Journal of virology,2.049,304,Q1
29,1873-7544,Neuroscience,1.008,229,Q2
31,0034-9887,Revista medica de Chile,0.225,41,Q4
32,1549-9626,Journal of chemical theory and computation,1.619,193,Q1
33,1866-0452,Deutsches Arzteblatt international,0.51,67,Q2
34,0950-382X,Molecular microbiology,1.446,254,Q1
35,1532-8384,Comprehensive psychiatry,1.57,112,Q1
36,1520-8524,The Journal of the Acoustical Society of America,0.693,194,Q1
37,1097-6868,American journal of obstetrics and gynecology,2.948,235,Q1
38,1521-3927,Macromolecular rapid communications,1.103,159,Q1
39,1360-0443,"Addiction (Abingdon, England)",2.058,202,Q1
40,1521-3773,Angewandte Chemie (International ed. in English),5.126,579,Q1
41,1861-471X,"Chemistry, an Asian journal",1.072,113,Q1
42,1616-5195,Macromolecular bioscience,0.89,109,Q1
43,1937-6448,International review of cell and molecular biology,2.203,118,Q1
44,1432-1173,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",0.292,40,Q3
45,1095-9203,"Science (New York, N.Y.)",14.589,1229,Q1
46,1432-1254,International journal of biometeorology,0.801,98,Q1
47,1873-0183,Autoimmunity reviews,3.168,130,Q1
48,0172-8172,Rheumatology international,0.747,78,Q2
49,1097-6833,The Journal of pediatrics,1.111,216,Q1
50,1532-7361,Surgery,1.236,169,Q1
51,0895-0172,The Journal of neuropsychiatry and clinical neurosciences,0.621,111,Q2
53,0304-324X,Gerontology,1.267,101,Q1
55,0340-6199,European journal of pediatrics,0.806,99,Q1
57,1557-8100,Omics : a journal of integrative biology,0.724,62,Q2
59,2168-619X,JAMA otolaryngology-- head & neck surgery,1.713,136,Q1
60,1743-0593,Archives of disease in childhood. Education and practice edition,0.255,32,Q3
61,1528-0012,Gastroenterology,7.689,423,Q1
63,1095-8657,Journal of structural biology,1.594,151,Q1
64,1879-0380,Current opinion in genetics & development,2.419,193,Q1
65,1090-2449,Experimental parasitology,0.494,78,Q3
67,0027-8424,Proceedings of the National Academy of Sciences of the United States of America,4.184,805,Q1
68,1936-086X,ACS nano,4.611,413,Q1
69,0195-668X,European heart journal,4.118,312,Q1
70,1743-1328,Neurological research,0.598,81,Q2
71,1399-0004,Clinical genetics,1.192,106,Q1
72,2040-3372,Nanoscale,1.744,244,Q1
73,1520-5762,Drug development and industrial pharmacy,0.566,90,Q2
74,1520-8532,"Journal of the Optical Society of America. A, Optics, image science, and vision",0.598,162,Q2
75,1942-5546,Mayo Clinic proceedings,2.186,191,Q1
76,0035-9203,Transactions of the Royal Society of Tropical Medicine and Hygiene,0.595,109,Q2
77,1936-2692,The American journal of managed care,0.73,96,Q2
78,1574-6968,FEMS microbiology letters,0.717,158,Q2
79,1755-3245,Cardiovascular research,2.711,228,Q1
80,1527-974X,Journal of the American Medical Informatics Association : JAMIA,2.016,158,Q1
81,1758-4469,Tree physiology,1.179,136,Q1
82,1708-8305,Journal of travel medicine,3.574,64,Q1
86,0003-4819,Annals of internal medicine,4.621,403,Q1
87,1539-3704,Annals of internal medicine,4.621,403,Q1
88,0095-1137,Journal of clinical microbiology,2.782,269,Q1
89,1878-1632,The spine journal : official journal of the North American Spine Society,1.572,115,Q1
